LogisticRegression(clf__C=10, clf__penalty=l2, clf__solver=lbfgs) | TFIDF(max_features=10000, ngram_range=(1, 6), max_df=0.8, min_df=2) | Accuracy train=0.998, test=0.692
LogisticRegression(clf__C=1, clf__penalty=l2, clf__solver=lbfgs) | D2V(vector_size=100, window=5, min_count=2, dm=False, epochs=20) | Accuracy train=0.689, test=0.590
LogisticRegression(clf__C=0.01, clf__penalty=l2, clf__solver=lbfgs) | W2V(vector_size=100, window=5, min_count=2, epochs=10) | Accuracy train=0.873, test=0.573
LogisticRegression(clf__C=10, clf__penalty=l2, clf__solver=lbfgs) | D2V(vector_size=100, window=5, min_count=2, dm=False, epochs=10) | Accuracy train=0.751, test=0.577
LogisticRegression(clf__C=1, clf__penalty=l2, clf__solver=lbfgs) | D2V(vector_size=100, window=5, min_count=2, dm=True, epochs=20) | Accuracy train=0.638, test=0.553
LogisticRegression(clf__C=1, clf__penalty=l2, clf__solver=lbfgs) | D2V(vector_size=200, window=5, min_count=2, dm=False, epochs=20) | Accuracy train=0.740, test=0.606
RandomForestClassifier(clf__criterion=gini, clf__max_depth=10, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=700) | TFIDF(max_features=10000, ngram_range=(1, 6), max_df=0.8, min_df=2) | Accuracy train=0.795, test=0.742
RandomForestClassifier(clf__criterion=gini, clf__max_depth=10, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=700) | TFIDF(max_features=10000, ngram_range=(1, 3), max_df=0.8, min_df=2) | Accuracy train=0.789, test=0.728
RandomForestClassifier(clf__criterion=gini, clf__max_depth=10, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=400) | TFIDF(max_features=5000, ngram_range=(1, 6), max_df=0.8, min_df=2) | Accuracy train=0.788, test=0.732
RandomForestClassifier(clf__criterion=gini, clf__max_depth=10, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=700) | TFIDF(max_features=10000, ngram_range=(1, 6), max_df=0.7, min_df=1) | Accuracy train=0.792, test=0.730
RandomForestClassifier(clf__criterion=gini, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=400) | W2V(vector_size=100, window=5, min_count=2, epochs=10) | Accuracy train=0.612, test=0.493
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=700) | W2V(vector_size=200, window=5, min_count=2, epochs=10) | Accuracy train=0.628, test=0.479
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=400) | W2V(vector_size=100, window=10, min_count=1, epochs=20) | Accuracy train=0.649, test=0.493
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=400) | W2V(vector_size=200, window=10, min_count=1, epochs=20) | Accuracy train=0.652, test=0.499
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=700) | W2V(vector_size=250, window=15, min_count=1, epochs=30) | Accuracy train=0.668, test=0.515
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=700) | W2V(vector_size=200, window=20, min_count=1, epochs=30) | Accuracy train=0.655, test=0.511
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=400) | W2V(vector_size=250, window=20, min_count=1, epochs=30) | Accuracy train=0.672, test=0.521
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=400) | W2V(vector_size=300, window=20, min_count=1, epochs=30) | Accuracy train=0.673, test=0.537
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=700) | W2V(vector_size=300, window=10, min_count=1, epochs=30) | Accuracy train=0.665, test=0.515
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=700) | W2V(vector_size=300, window=30, min_count=2, epochs=30) | Accuracy train=0.675, test=0.523
RandomForestClassifier(clf__criterion=entropy, clf__max_depth=5, clf__max_features=sqrt, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=400) | W2V(vector_size=300, window=20, min_count=2, epochs=40) | Accuracy train=0.673, test=0.507
RandomForestClassifier(clf__criterion=gini, clf__max_depth=9, clf__max_features=log2, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=700) | D2V(vector_size=100, window=5, min_count=2, dm=False, epochs=20) | Accuracy train=0.907, test=0.523
RandomForestClassifier(clf__criterion=gini, clf__max_depth=9, clf__max_features=log2, clf__min_samples_leaf=15, clf__min_samples_split=10, clf__n_estimators=400) | D2V(vector_size=200, window=5, min_count=2, dm=False, epochs=20) | Accuracy train=0.957, test=0.525
